actor_common.dies,dies.,死了。
item_data.item_type.device.land_on_hard_snd_msg,I hear a clanking sound.,我听到一阵金属叮当声。
item_data.item_type.device.unidentified_name,Strange Device,奇异装置
item_data.item_type.device.unidentified_name_a,a Strange Device,一个奇异装置
item_data.item_type.device.unidentified_name_plural,Strange Devices,奇异装置
item_data.item_type.melee_wpn.land_on_hard_snd_msg,I hear a clanking sound.,我听到一阵金属叮当声。
item_data.item_type.potion.base_descr,A small glass bottle containing a mysterious concoction.,一个小玻璃瓶，里面装着神秘调合物。
item_data.item_type.rod.base_descr,"A metallic device of cylindrical shape. It seems to be designed for human hands, for whatever nefarious purpose.",一个圆柱形金属装置。它似乎是为人类双手设计的，不知有何邪恶用途。
item_data.item_type.rod.land_on_hard_snd_msg,I hear a clanking sound.,我听到一阵金属叮当声。
item_data.item_type.scroll.base_descr_1,"A short transcription of an eldritch incantation. There is a strange aura about it, as if some power was imbued in the paper itself.",一份奥秘咒文的简短抄本。纸张上有一种奇异灵光，仿佛某种力量被灌注在纸张本身之中。
item_data.item_type.scroll.base_descr_2,"It should be possible to pronounce it correctly, but the purpose is unclear.",它应该可以被正确念出，但用途并不明朗。
item_data.lantern.base_descr,A portable light source.,一个便携式光源。
item_data.lantern.land_on_hard_snd_msg,I hear a clanking sound.,我听到一阵金属叮当声。
item_data.lantern.name,Electric Lantern,电提灯
item_data.lantern.name_a,an Electric Lantern,一盏电提灯
item_data.lantern.name_plural,Electric Lanterns,电提灯
item_data.machete.base_descr_1,A large cleaver-like knife. It serves well both as a cutting tool and weapon.,一把类似大型菜刀的刀。既适合作为切割工具，也适合作为武器。
item_data.machete.base_descr_2,Melee attacks with machetes are noisy.,用砍刀进行近战攻击会发出声响。
item_data.machete.name,Machete,砍刀
item_data.machete.name_a,a Machete,一把砍刀
item_data.machete.name_plural,Machetes,砍刀
item_data.medical_bag.base_descr,A portable bag of medical supplies. Can be used to treat Wounds or Infections.,一个便携式医疗用品包。可用于处理伤口或感染。
item_data.medical_bag.name,Medical Bag,医疗包
item_data.medical_bag.name_a,a Medical Bag,一个医疗包
item_data.medical_bag.name_plural,Medical Bags,医疗包
item_data.molotov.base_descr,"An improvised incendiary weapon made of a glass bottle containing flammable liquid and some cloth for ignition. In action, the cloth is lit and the bottle hurled at a target, causing an immediate fireball followed by a raging fire.",一种临时制作的燃烧武器，由装有易燃液体的玻璃瓶和用于点火的布料组成。使用时点燃布料并将瓶子掷向目标，立即造成一团火球，随后燃起熊熊烈火。
item_data.molotov.name,Molotov Cocktail,燃烧瓶
item_data.molotov.name_a,a Molotov Cocktail,一个燃烧瓶
item_data.molotov.name_plural,Molotov Cocktails,燃烧瓶
item_data.morphic_blaster.base_descr_1,A weapon created by the Mi-Go. It launches projectiles that unleash explosive energy upon impact. The weapon adapts itself to merge with the biology of its wielder. A guidance system integrates with the brain to ensure that the projectile hits its intended mark independent of aiming skill (although there is a small chance that it collides with unintended targets along the path).,米-戈制造的武器。它发射的弹体会在命中时释放爆炸性能量。武器会自我调适，与持用者的生理结合。一个导引系统会与大脑整合，确保弹体命中预定目标而不受瞄准技巧影响（不过它仍有小概率在路径上撞上非预期目标）。
item_data.morphic_blaster.base_descr_2_hp_drained_infix," hit points drained per attack, ",点生命值/每次攻击，
item_data.morphic_blaster.base_descr_2_prefix,"When wielded by creatures lacking the peculiar power sources employed by the Mi-Go, this weapon instead draws power from the life force of the wielder (",当缺乏米-戈所用奇特能源的生物持用时，这件武器会改为从持用者的生命力中抽取能量（
item_data.morphic_blaster.base_descr_2_regen_disabled_prefix,passive hit point regeneration is disabled for ,被动生命恢复会被禁用
item_data.morphic_blaster.base_descr_2_turns_suffix," turns, unable to act for the next turn).",回合，且下一回合无法行动）。
item_data.morphic_blaster.name,Morphic Blaster,变形爆能枪
item_data.morphic_blaster.name_a,a Morphic Blaster,一把变形爆能枪
item_data.morphic_blaster.name_plural,Morphic Blasters,变形爆能枪
item_data.morphic_blaster.ranged_snd_msg,I hear the blast of a launched projectile.,我听到发射出的弹体爆响。
item_data.necronomicon.base_descr_1,"This is the dreaded Necronomicon - the Book of the Dead! Its pages contain much dire knowledge on esoteric matters. While carried, all spells are cast at a higher skill level, and it is possible to reach a fourth level, ""Transcendent"".",这就是令人畏惧的死灵之书——亡者之书！书页中记载着许多关于秘奥事物的可怖知识。携带时，所有法术都会以更高技能等级施放，并且可以达到第四等级“超凡”。
item_data.necronomicon.base_descr_2,"All shock taken from spell casting is doubled, and the presence of one who is consulting such knowledge is felt strongly (-20% stealth, 2% chance per turn of alerting nearby creatures).",施放法术受到的所有精神震惊加倍，并且查阅这类知识者的存在会被强烈感知（-20%潜行，每回合2%几率惊动附近生物）。
item_data.necronomicon.name,Necronomicon,死灵之书
item_data.necronomicon.name_a,the Necronomicon,死灵之书
item_data.onyx_drop.base_descr,Drinking a malign potion also applies its effect to all nearby creatures (maximum distance is 6).,饮用恶性药水时，其效果也会施加到附近所有生物身上（最大距离为6）。
item_data.onyx_drop.name,Onyx Drop,缟玛瑙滴坠
item_data.onyx_drop.name_a,the Onyx Drop,缟玛瑙滴坠
item_data.orb_of_life.base_descr,"+4 hit points, grants resistance against poison and disease.",+4生命值，获得对毒素和疾病的抗性。
item_data.orb_of_life.name,Orb of Life,生命之球
item_data.orb_of_life.name_a,the Orb of Life,生命之球
item_data.pharaoh_staff.base_descr_1,"Wielded by rulers in ancient times, this powerful artifact holds power over those that were once bound to it. Any mummy beholding the owner will eventually be converted (10% chance per turn while the weapon is carried).",古代统治者所持的强大神器，能支配那些曾受它束缚的存在。任何看见持有者的木乃伊最终都会被转化（携带此武器时每回合有10%几率）。
item_data.pharaoh_staff.base_descr_2,"Also, a devastating curse may fall upon those struck by this weapon (50% chance to apply doom, greatly reducing the victim's hit chances, evasion, and searching ability, and also causes a small chance to fail when casting spells).",此外，被这件武器击中的目标可能遭受毁灭性的诅咒（50%几率施加厄运，大幅降低受害者的命中率、闪避和搜索能力，并使施法时有小概率失败）。
item_data.pharaoh_staff.name,Staff of the Pharaohs,法老权杖
item_data.pharaoh_staff.name_a,the Staff of the Pharaohs,法老权杖
item_data.pistol.base_descr,"A semi-automatic, magazine-fed pistol chambered for the .45 ACP cartridge.",一把使用弹匣供弹、发射.45 ACP弹药的半自动手枪。
item_data.pistol.name,M1911 Colt,M1911柯尔特手枪
item_data.pistol.name_a,an M1911 Colt,一把M1911柯尔特手枪
item_data.pistol.name_plural,M1911 Colts,M1911柯尔特手枪
item_data.pistol.ranged_snd_msg,I hear a pistol being fired.,我听到手枪开火声。
item_data.pistol_mag.base_descr,Ammunition used by Colt pistols.,柯尔特手枪使用的弹药。
item_data.pistol_mag.name,Colt .45ACP Magazine,柯尔特.45 ACP弹匣
item_data.pistol_mag.name_a,a Colt .45ACP Magazine,一个柯尔特.45 ACP弹匣
item_data.pistol_mag.name_plural,Colt .45ACP Magazines,柯尔特.45 ACP弹匣
item_data.pitchfork.base_descr_1,"A long staff with a forked, four-pronged end.",一根长杆，末端有四齿叉头。
item_data.pitchfork.base_descr_2,Pitchforks are useful in keeping attackers at bay - the victim is pushed back when stabbed.,草叉有助于让攻击者保持距离——被刺中的受害者会被推开。
item_data.pitchfork.name,Pitchfork,草叉
item_data.pitchfork.name_a,a Pitchfork,一把草叉
item_data.pitchfork.name_plural,Pitchforks,草叉
item_data.player_ghoul_claw.attack_player,claw,爪击
item_data.player_ghoul_claw.name,Claw,利爪
item_data.player_ghoul_claw.name_a,clawing,爪击
item_data.player_kick.attack_player,kick,踢
item_data.player_punch.attack_player,punch,拳击
item_data.player_punch.name,Punch,拳击
item_data.player_punch.name_a,a punch,一记拳击
item_data.player_stomp.attack_player,stomp,践踏
item_data.pump_shotgun.base_descr,A pump-action shotgun has a handgrip that can be pumped back and forth in order to eject a spent round of ammunition and to chamber a fresh one. It has a single barrel above a tube magazine into which shells are inserted. The magazine has a capacity of 8 shells.,泵动霰弹枪有一个可前后拉动的护木，用于退出已击发的弹壳并将新弹上膛。它有一根枪管，下面是装入霰弹的管状弹仓。弹仓容量为8发。
item_data.pump_shotgun.name,Pump Shotgun,泵动霰弹枪
item_data.pump_shotgun.name_a,a Pump Shotgun,一把泵动霰弹枪
item_data.pump_shotgun.name_plural,Pump shotguns,泵动霰弹枪
item_data.pump_shotgun.ranged_snd_msg,I hear a shotgun blast.,我听到一声霰弹枪轰鸣。
item_data.refl_talisman.base_descr,"Whenever a hostile spell is blocked due to spell resistance, it is also reflected. The number of turns to regain spell resistance is halved.",每当因法术抗性阻挡敌对法术时，该法术也会被反射。重新获得法术抗性所需的回合数减半。
item_data.refl_talisman.name,Talisman of Reflection,反射护符
item_data.refl_talisman.name_a,the Talisman of Reflection,反射护符
item_data.resurrect_talisman.base_descr,"This powerful charm brings the owner back to life upon bodily death. The talisman is destroyed in the process however, so one may only be brought back once.",这个强大的护符会在持有者肉体死亡时使其复活。不过护符会在过程中被摧毁，因此只能复活一次。
item_data.resurrect_talisman.name,Talisman of Resurrection,复活护符
item_data.resurrect_talisman.name_a,the Talisman of Resurrection,复活护符
item_data.revolver.base_descr,A six-shot double-action revolver.,一把六发双动左轮手枪。
item_data.revolver.name,S&W Revolver,S&W左轮手枪
item_data.revolver.name_a,a S&W Revolver,一把S&W左轮手枪
item_data.revolver.name_plural,S&W Revolvers,S&W左轮手枪
item_data.revolver.ranged_snd_msg,I hear a revolver being fired.,我听到左轮手枪开火声。
item_data.revolver_bullet.base_descr,Ammunition used by S&W Model 10 Revolvers.,S&W Model 10左轮手枪使用的弹药。
item_data.revolver_bullet.name,Revolver .38 Bullet,左轮.38子弹
item_data.revolver_bullet.name_a,a Revolver .38 Bullet,一枚左轮.38子弹
item_data.revolver_bullet.name_plural,Revolver .38 Bullets,左轮.38子弹
item_data.rifle.base_descr_1,A lever-action repeating rifle.,杠杆式连发步枪。
item_data.rifle.base_descr_2,This weapon has an accuracy penalty at close ranges.,这件武器在近距离有命中率惩罚。
item_data.rifle.name,Winchester Rifle,温彻斯特步枪
item_data.rifle.name_a,a Winchester Rifle,一把温彻斯特步枪
item_data.rifle.name_plural,Winchester Rifles,温彻斯特步枪
item_data.rifle.ranged_snd_msg,I hear a rifle being fired.,我听到步枪开火声。
item_data.rifle_bullet.base_descr,Ammunition used by Winchester Rifles.,温彻斯特步枪使用的弹药。
item_data.rifle_bullet.name,Winchester .30 Bullet,温彻斯特.30子弹
item_data.rifle_bullet.name_a,a Winchester .30 Bullet,一枚温彻斯特.30子弹
item_data.rifle_bullet.name_plural,Winchester .30 Bullets,温彻斯特.30子弹
item_data.rock.base_descr,"Although not a very impressive weapon, with skill they can be used with some result.",虽然不是很起眼的武器，但有技巧地使用也能产生一些效果。
item_data.rock.name,Rock,石块
item_data.rock.name_a,a Rock,一块石块
item_data.rock.name_plural,Rocks,石块
item_data.sawed_off.base_descr,"Compared to a standard shotgun, the sawed-off has a shorter effective range - however, at close range it is more devastating. It holds two barrels, and needs to be reloaded after both are discharged.",与标准霰弹枪相比，短管霰弹枪有效射程更短；不过在近距离更具毁灭性。它有两根枪管，两发都射出后需要重新装填。
item_data.sawed_off.name,Sawed-off Shotgun,短管霰弹枪
item_data.sawed_off.name_a,a Sawed-off Shotgun,一把短管霰弹枪
item_data.sawed_off.name_plural,Sawed-off shotguns,短管霰弹枪
item_data.sawed_off.ranged_snd_msg,I hear a shotgun blast.,我听到一声霰弹枪轰鸣。
item_data.shadow_dagger.base_descr_1,"A pitch black dagger with elaborate ornaments. The blade appears blurry, as if perpetually covered in a dark haze.",一把有精致装饰的漆黑匕首。刀刃显得模糊，仿佛永远笼罩在黑暗雾霭中。
item_data.shadow_dagger.base_descr_2,"A creature struck by this weapon is cursed to forever dwell in darkness, or suffer great agony (becomes permanently light sensitive, and takes +1 extra damage from light). Creatures which naturally emit light (such as beings of fire or energy) takes 1-4 irresistible damage instead.",被这把武器击中的生物会受到诅咒，永远栖身于黑暗中，否则便承受巨大痛苦（永久变得光敏，并受到来自光的+1额外伤害）。天生发光的生物（如火焰或能量存在）则会改为受到1-4点不可抵抗伤害。
item_data.shadow_dagger.base_descr_3,Attacking an unaware opponent with a dagger does +200% damage (in addition to the normal +50% damage from stealth attacks).,用匕首攻击未警觉的对手造成+200%伤害（此外还享受潜行攻击通常的+50%伤害）。
item_data.shadow_dagger.name,"Gahana, The Black Dagger",加哈纳，黑色匕首
item_data.shadow_dagger.name_a,"Gahana, The Black Dagger",加哈纳，黑色匕首
item_data.shotgun_shell.base_descr,A cartridge designed to be fired from a shotgun.,为霰弹枪发射而设计的弹药。
item_data.shotgun_shell.name,Shotgun shell,霰弹枪弹
item_data.shotgun_shell.name_a,a shotgun shell,一枚霰弹枪弹
item_data.shotgun_shell.name_plural,Shotgun shells,霰弹枪弹
item_data.sledgehammer.base_descr,"It can deal devastating damage, although it is cumbersome to carry, and it requires some skill to use effectively.",它能造成毁灭性伤害，但携带起来很笨重，也需要一定技巧才能有效使用。
item_data.sledgehammer.name,Sledgehammer,大锤
item_data.sledgehammer.name_a,a Sledgehammer,一把大锤
item_data.sledgehammer.name_plural,Sledgehammers,大锤
item_data.smoke_grenade.base_descr,"A sheet steel cylinder with emission holes releasing smoke when the grenade is ignited. Their primary use is to create smoke screens for concealment. The fumes produced can harm the eyes, throat and lungs - so it is recommended to wear a protective mask.",一个薄钢筒，点燃后会从排放孔释放烟雾。它们主要用于制造烟幕以便隐蔽。产生的烟雾会伤害眼睛、喉咙和肺部，因此建议佩戴防护面具。
item_data.smoke_grenade.name,Smoke Grenade,烟雾弹
item_data.smoke_grenade.name_a,a Smoke Grenade,一枚烟雾弹
item_data.smoke_grenade.name_plural,Smoke Grenades,烟雾弹
item_data.spear.base_descr,A pole weapon consisting of a wooden shaft and a steel head.,一种由木柄和钢制矛头组成的长柄武器。
item_data.spear.name,Spear,长矛
item_data.spear.name_a,a Spear,一根长矛
item_data.spear.name_plural,Spears,长矛
item_data.spike_gun.base_descr,"A very strange and crude weapon capable of launching iron spikes with enough force to pierce flesh (or even rock). It seems almost to be deliberately designed for cruelty, rather than pure stopping power.",一件非常奇异而粗陋的武器，能够以足够穿透血肉（甚至岩石）的力量发射铁尖刺。它几乎像是被刻意设计用来施加残酷，而不是单纯为了制止目标。
item_data.spike_gun.name,Spike Gun,尖刺枪
item_data.spike_gun.name_a,a Spike Gun,一把尖刺枪
item_data.spike_gun.name_plural,Spike Guns,尖刺枪
item_data.spike_gun.ranged_snd_msg,I hear a very crude weapon being fired.,我听到一件非常粗陋的武器开火。
item_data.spiked_mace.base_descr_1,"A brutal weapon, utilizing a combination of blunt-force and puncture.",一种残酷的武器，结合了钝击力与穿刺。
item_data.spiked_mace.base_descr_2,"Attacks with this weapon have a 25% chance to stun the victim, rendering them unable to act for a brief time.",用这件武器攻击有25%几率击晕受害者，使其短时间无法行动。
item_data.spiked_mace.base_descr_3,Melee attacks with spiked maces are noisy.,用钉头锤进行近战攻击会发出声响。
item_data.spiked_mace.name,Spiked Mace,钉头锤
item_data.spiked_mace.name_a,a Spiked Mace,一把钉头锤
item_data.spiked_mace.name_plural,Spiked Maces,钉头锤
item_data.tele_ctrl_talisman.base_descr,Grants the owner the ability to control the destination when teleporting.,赋予持有者在传送时控制目的地的能力。
item_data.tele_ctrl_talisman.name,Talisman of Teleportation Control,传送控制护符
item_data.tele_ctrl_talisman.name_a,the Talisman of Teleportation Control,传送控制护符
item_data.thr_knife.base_descr,A knife specially designed and weighted so that it can be thrown effectively.,一种经过专门设计和配重、便于有效投掷的刀。
item_data.thr_knife.name,Throwing Knife,飞刀
item_data.thr_knife.name_a,a Throwing Knife,一把飞刀
item_data.thr_knife.name_plural,Throwing Knives,飞刀
item_data.tommy_gun.base_descr,"""Tommy Gun"" is a nickname for the Thompson submachine gun - an automatic firearm with a drum magazine and vertical foregrip. It fires .45 ACP ammunition. The drum magazine has a capacity of 50 rounds.",“汤米枪”是汤普森冲锋枪的昵称，是一种配有弹鼓和垂直前握把的自动枪械。它发射.45 ACP弹药，弹鼓容量为50发。
item_data.tommy_gun.name,Tommy Gun,汤米枪
item_data.tommy_gun.name_a,a Tommy Gun,一把汤米枪
item_data.tommy_gun.name_plural,Tommy Guns,汤米枪
item_data.tommy_gun.ranged_snd_msg,I hear the burst of a machine gun.,我听到机枪连射声。
item_data.torture_collar.base_descr_1,A gruesome torture device with spikes driven into the neck of the wearer. It is impossible to take off.,一种可怖的折磨器具，尖刺刺入佩戴者颈部。它无法被取下。
item_data.torture_collar.base_descr_2,"Walking with the collar requires extra turns, and stealth and evasion are reduced by 20%. However, wearing the collar hardens the Flagellant against physical suffering, armor is increased by 3 points.",戴着项圈行走需要额外回合，潜行和闪避降低20%。不过，佩戴项圈会让苦修者更能承受肉体痛苦，护甲增加3点。
item_data.torture_collar.name,Torture Collar,折磨项圈
item_data.torture_collar.name_a,a Torture Collar,一个折磨项圈
item_data.trap_dart.ranged_snd_msg,I hear the launching of a projectile.,我听到弹体发射声。
item_data.witch_eye.base_descr,"The eye of a powerful witch. Clutching it in one's hand will temporarily grant magical vision - doors, traps, stairs, and other locations of interest are detected in the surrounding area, and the presence of items and creatures is revealed.",一位强大女巫的眼睛。把它攥在手中会暂时获得魔法视觉——门、陷阱、楼梯和周围其他有趣地点会被侦测到，并且物品和生物的存在也会显露。
item_data.witch_eye.name,Witch's Eye,女巫之眼
item_data.witch_eye.name_a,a Witch's Eye,一只女巫之眼
item_data.witch_eye.name_plural,Witch's Eyes,女巫之眼
item_data.zombie_dust.base_descr,"When thrown at a living (non-undead) creature, this powder causes paralyzation.",投向活着的（非不死）生物时，这种粉末会导致麻痹。
item_data.zombie_dust.name,Zombie Dust,僵尸尘
item_data.zombie_dust.name_a,a handful of Zombie Dust,一把僵尸尘
item_data.zombie_dust.name_plural,Handfuls of Zombie Dust,一把把僵尸尘
item_device.activate_prefix,I activate ,我激活了
item_device.air_thickens,The air thickens around me.,我周围的空气变得沉重起来。
item_device.alien,"This device is completely alien to me, I could never understand it through normal means.",这件装置对我来说完全陌生，我无法通过常规手段理解它。
item_device.all_properties_known,All its properties are now known to me.,它的所有属性现在都已为我所知。
item_device.breaks_prefix,The ,那件
item_device.breaks_suffix, breaks!,坏了！
item_device.condition_breaking,almost broken.,几乎坏掉了。
item_device.condition_fine,to be in fine condition.,状况良好。
item_device.condition_prefix,It seems ,它似乎
item_device.condition_shoddy,to be in shoddy condition.,状况粗劣。
item_device.damaged,The ,那件
item_device.damaged_suffix, makes a terrible grinding noise. I seem to have damaged it.,发出可怕的磨擦声。我似乎把它弄坏了。
item_device.descr_blaster,"When activated, this device blasts one visible hostile creature with infernal power.",启动后，这个装置会用地狱之力轰击一个可见的敌对生物。
item_device.descr_force_field,"When activated, this device constructs a temporary opaque barrier around the user, blocking all physical matter. The barrier can only be created in empty spaces (i.e. not in spaces occupied by creatures, walls, etc).",启动后，这个装置会在使用者周围构建一道临时的不透明屏障，阻挡所有物质。屏障只能在空地中生成（即没有生物、墙壁等占据的空间）。
item_device.descr_rejuvenator,"When activated, this device heals all wounds and physical maladies. The procedure is very painful and invasive however, and causes great shock to the user.",启动后，这个装置会治愈所有伤口和身体疾病。然而，这个过程非常痛苦且侵入性很强，并会给使用者带来巨大的精神震惊。
item_device.descr_sentry_drone,"When activated, this device will ""come alive"" and guard the user.",启动后，这个装置会“活过来”并守卫使用者。
item_device.descr_translocator,"When activated, this device teleports all visible enemies to different locations.",启动后，这个装置会将所有可见敌人传送到不同位置。
item_device.electric_jolt,It hits me with a jolt of electricity!,它用一阵电击击中了我！
item_device.ellipsis,...,...
item_device.history_comprehended_prefix,Comprehended ,理解了
item_device.hums_prefix,The ,那件
item_device.hums_suffix, hums ominously.,发出不祥的嗡鸣。
item_device.identified_prefix,I have identified ,我已经辨识出了
item_device.name_info_breaking,(breaking),（将坏）
item_device.name_info_fine,(fine),（良好）
item_device.name_info_shoddy,(shoddy),（粗劣）
item_device.peruse_area,It seems to peruse area.,它似乎在查看周围区域。
item_device.repairs_body,It repairs my body.,它修复了我的身体。
item_device.sentry_awakes,The Sentry Drone awakens!,哨戒无人机苏醒了！
item_device.suddenly_stops,It suddenly stops.,它突然停止了。
item_device.teleported_suffix, is teleported.,被传送了。
item_explosive.already_holding,I am already holding ,我已经拿着
item_explosive.dynamite_explodes,The dynamite explodes in my hand!,炸药在我手里爆炸了！
item_explosive.dynamite_falls,The lit Dynamite stick falls from my hand!,点燃的炸药从我手中掉落！
item_explosive.flare_extinguished,The flare is extinguished.,照明棒熄灭了。
item_explosive.flare_falls,The lit Flare falls from my hand!,点燃的照明棒从我手中掉落！
item_explosive.hear_explosion,I hear an explosion!,我听到了一声爆炸！
item_explosive.ignite_smoke_grenade,I ignite a smoke grenade.,我点燃了一枚烟雾手雷。
item_explosive.light_dynamite,I light a dynamite stick.,我点燃了一根炸药。
item_explosive.light_flare,I light a Flare.,我点燃了一支照明棒。
item_explosive.light_molotov,I light a Molotov Cocktail.,我点燃了一瓶燃烧瓶。
item_explosive.light_query,Light ,点燃
item_explosive.molotov_about_to_explode,The Molotov Cocktail is about to explode!,燃烧瓶就要爆炸了！
item_explosive.molotov_explodes,The Molotov Cocktail explodes in my hand!,燃烧瓶在我手里爆炸了！
item_explosive.molotov_falls,The lit Molotov Cocktail falls from my hand!,点燃的燃烧瓶从我手中掉落！
item_explosive.molotov_soon_explode,The Molotov Cocktail will soon explode.,燃烧瓶很快就会爆炸。
item_explosive.not_while_burning,Not while burning.,燃烧时不能这么做。
item_explosive.query_suffix,? ,？
item_explosive.smoke_grenade_extinguished,The smoke grenade is extinguished.,烟雾手雷熄灭了。
item_explosive.smoke_grenade_falls,The ignited smoke grenade falls from my hand!,点燃的烟雾手雷从我手中掉落！
item_explosive.throw_lit_dynamite,I throw a lit dynamite stick.,我投掷了一根点燃的炸药。
item_explosive.throw_lit_flare,I throw a lit flare.,我投掷了一支点燃的照明棒。
item_explosive.throw_lit_molotov,I throw a lit Molotov Cocktail.,我投掷了一瓶点燃的燃烧瓶。
item_explosive.throw_smoke_grenade,I throw a smoke grenade.,我投掷了一枚烟雾手雷。
item_head.expires_prefix,My ,我的
item_head.expires_suffix, expires.,失效了。
item_head.turns_left_prefix,(,（
item_head.turns_left_suffix, turns),回合）
item_misc.astral_opium.use_prefix,I use the ,我使用了
item_misc.astral_opium.use_suffix,...,……
item_misc.clockwork.nothing_happens,Nothing happens.,什么也没发生。
item_misc.clockwork.will_not_move,It will not move.,它不会动。
item_misc.clockwork.wind_up,I wind up the clockwork.,我上紧了发条装置。
item_misc.fluctuating_material.gain_trait_title,Which trait do you gain?,你要获得哪项特质？
item_misc.fluctuating_material.stare_prefix,I stare into the ,我凝视着
item_misc.fluctuating_material.stare_suffix,", and feel myself changing...",，感觉自己正在改变……
item_misc.holy_symbol.failed_suffix,", failed",，失败
item_misc.holy_symbol.feels_useless,This feels useless!,这感觉毫无用处！
item_misc.holy_symbol.no_faith,I have no faith that this would help me at the moment.,此刻我没有信念相信这会对我有所帮助。
item_misc.holy_symbol.prayer_prefix,I make a prayer over the ,对着
item_misc.holy_symbol.prayer_suffix,...,做祈祷……
item_misc.holy_symbol.recharged_prefix,I feel like praying over the ,我感觉再次对着
item_misc.holy_symbol.recharged_suffix, would be beneficent again.,祈祷会有益处。
item_misc.holy_symbol.trembling_hands,With trembling hands ,我用颤抖的双手
item_misc.horn.banishment_resounds,The Horn of Banishment resounds!,放逐号角响彻四方！
item_misc.horn.malice_resounds,The Horn of Malice resounds!,恶意号角响彻四方！
item_misc.horn.no_sound,It makes no sound.,它没有发出声音。
item_misc.info.close_paren,),）
item_misc.info.open_paren,(,（
item_misc.info.turns_suffix, turns,回合
item_misc.info.uses_suffix, uses),次）
item_misc.lantern.expired,My Electric Lantern has expired.,我的电提灯耗尽了。
item_misc.lantern.expired_history,My Electric Lantern expired,我的电提灯耗尽了
item_misc.lantern.lit_suffix,", Lit",，亮着
item_misc.lantern.turn_off,I turn off an Electric Lantern.,我关掉了电提灯。
item_misc.lantern.turn_on,I turn on an Electric Lantern.,我打开了电提灯。
item_misc.medical_bag.available_supplies,Available supplies: ,可用物资：
item_misc.medical_bag.choice_quick_patch_prefix,"(q) Quick patch-up, restores ",（q）快速包扎，恢复
item_misc.medical_bag.choice_quick_patch_suffix, hit points ,点生命值
item_misc.medical_bag.choice_sanitize_infection,(s) Sanitize infection ,（s）处理感染
item_misc.medical_bag.choice_treat_wound,(w) Treat wound ,（w）处理伤口
item_misc.medical_bag.continue_turns_prefix, (,（还剩
item_misc.medical_bag.continue_turns_suffix, turns left)? ,回合）？
item_misc.medical_bag.continue_using_prefix,Continue using ,继续使用
item_misc.medical_bag.cost_suffix,),）
item_misc.medical_bag.cost_supplies_prefix,(supplies: ,（消耗：
item_misc.medical_bag.cost_turns_prefix,", turns: ",，回合：
item_misc.medical_bag.healing_disrupted,My healing is disrupted.,我的治疗被打断了。
item_misc.medical_bag.info_supplies_suffix, supplies),份）
item_misc.medical_bag.no_minor_injuries,There are no minor injuries to patch up.,没有轻微伤口可处理。
item_misc.medical_bag.no_use,It is of no use to me.,它对我毫无用处。
item_misc.medical_bag.no_wounds,I have no wounds to treat.,我没有伤口可处理。
item_misc.medical_bag.not_enough_supplies,I do not have enough medical supplies.,我的医疗用品不够。
item_misc.medical_bag.not_infected,I am not infected.,我没有感染。
item_misc.medical_bag.nothing_to_treat,There is nothing to treat.,没有什么可处理的。
item_misc.medical_bag.ran_out_history,Ran out of medical supplies,医疗用品用完了
item_misc.medical_bag.select_treatment,Select treatment,选择治疗
item_misc.medical_bag.start_quick_patch,I patch up some minor injuries.,我处理了一些轻微的伤口
item_misc.medical_bag.start_sanitize_infection,I start to sanitize an infection,我开始处理一处感染
item_misc.medical_bag.start_treat_wound,I start treating a wound,我开始处理一处伤口
item_misc.medical_bag.turns_prefix, (,（
item_misc.medical_bag.turns_suffix, turns)...,回合）...
item_misc.necronomicon.destroy,I destroy the profane text!,我摧毁了这亵渎的文本！
item_misc.trapezohedron.beheld_history,Beheld The Shining Trapezohedron,目睹闪耀的偏方三八面体
item_misc.witch_eye.clutch_prefix,I clutch the ,我紧握着
item_misc.witch_eye.clutch_suffix,...,……
item_misc.witch_eye.decomposes,The eye decomposes.,那只眼睛腐烂了。
item_potion.appearance_black,Black,黑色
item_potion.appearance_bloody,Bloody,血色
item_potion.appearance_clear,Clear,透明
item_potion.appearance_clotted,Clotted,凝块状
item_potion.appearance_dark,Dark,暗色
item_potion.appearance_fiery,Fiery,火红
item_potion.appearance_frothy,Frothy,泡沫状
item_potion.appearance_golden,Golden,金色
item_potion.appearance_green,Green,绿色
item_potion.appearance_magenta,Magenta,品红色
item_potion.appearance_metallic,Metallic,金属色
item_potion.appearance_misty,Misty,雾状
item_potion.appearance_moldy,Moldy,霉斑
item_potion.appearance_muddy,Muddy,泥色
item_potion.appearance_murky,Murky,浑浊
item_potion.appearance_oily,Oily,油状
item_potion.appearance_orange,Orange,橙色
item_potion.appearance_slimy,Slimy,黏滑
item_potion.appearance_smoky,Smoky,烟雾状
item_potion.appearance_violet,Violet,紫罗兰色
item_potion.appearance_watery,Watery,水状
item_potion.appearance_yellow,Yellow,黄色
item_potion.are, are ,是
item_potion.article_a_space,a ,__EMPTY__
item_potion.article_an_space,an ,__EMPTY__
item_potion.benign,Benign,良性
item_potion.blindness_descr,Causes temporary loss of vision.,导致暂时失去视觉。
item_potion.blindness_name,Blindness,失明
item_potion.blinking_descr,"Causes the consumer to rapidly fade away from existence, and reappear again at a nearby position of their choosing.",使饮用者快速从现实中淡出，并在自己选择的附近位置重新出现。
item_potion.blinking_name,Blinking,闪现
